"Population of Irish Speakers Aged 3 Years and Over by Province,"
"statistical indicator and Year"

" "," ","1861","1871","1881","1891","1901","1911","1926","1936","1946","1961","1971","1981","1986","1991","1996","2002","2006","2011","2016"
"State"
" ","Population of Irish Speakers (Number)",1077087,804547,924781,664387,619710,553717,540802,666601,588725,716420,789429,1018413,1042701,1095830,1430205,1570894,1656790,1774437,1761420
" ","Population of Non-Irish Speakers (Number)",3325024,3248640,2945239,2804307,2602113,2585971,2261650,2140324,2182932,1919398,1998019,2208054,2310931,2271176,2049443,2180101,2400856,2596194,2807841
" ","Percentage of Irish Speakers (%)",24.5,19.8,23.9,19.2,19.2,17.6,19.3,23.7,21.2,27.2,28.3,31.6,31.1,32.5,41.1,41.9,40.8,40.6,38.5
"Leinster"
" ","Population of Irish Speakers (Number)",35704,16247,27452,13677,26436,40225,101102,183378,180755,274644,341702,473225,480227,511639,689703,768404,823555,890834,897357
" ","Population of Non-Irish Speakers (Number)",1421931,1323204,1251537,1174083,1126393,1121819,978536,966434,1017491,964383,1055160,1202292,1274353,1264188,1155696,1245467,1370796,1491799,1628022
" ","Percentage of Irish Speakers (%)",2.4,1.2,2.1,1.2,2.3,3.5,9.4,15.9,15.1,22.2,24.5,28.2,27.4,28.8,37.4,38.2,37.5,37.4,35.5
"Munster"
" ","Population of Irish Speakers (Number)",545531,386494,445766,307633,276268,228694,197625,224805,189395,228726,252805,323704,337043,352177,451129,493500,510005,537564,526243
" ","Population of Non-Irish Speakers (Number)",968027,1006991,885349,864769,799920,806801,718068,668030,672660,567613,573308,612526,630434,612988,541616,561683,614563,651550,703833
" ","Percentage of Irish Speakers (%)",36.0,27.7,33.5,26.2,25.7,22.1,21.6,25.2,22.0,28.7,30.6,34.6,34.8,36.5,45.4,46.8,45.4,45.2,42.8
"Connacht"
" ","Population of Irish Speakers (Number)",409482,330211,366191,274783,245580,217087,174234,183082,154187,148708,137372,155134,158386,162680,201195,216128,224953,239493,233807
" ","Population of Non-Irish Speakers (Number)",503653,516002,455466,449991,401352,393897,348964,315322,309638,246592,231960,244264,250474,242091,215809,229844,258407,278966,295485
" ","Percentage of Irish Speakers (%)",44.8,39.0,44.6,37.9,38.0,35.5,33.3,36.7,33.2,37.6,37.2,38.8,38.7,40.2,48.2,48.5,46.5,46.2,44.2
"Ulster (pt)"
" ","Population of Irish Speakers (Number)",86370,71595,85372,68294,71426,67711,67841,75336,64388,64342,57550,66350,67045,69334,88178,92862,98277,106546,104013
" ","Population of Non-Irish Speakers (Number)",431413,402443,352887,315464,274448,263454,216082,190538,183143,140810,137591,148972,155670,151909,136322,143107,157090,173879,180501
" ","Percentage of Irish Speakers (%)",16.7,15.1,19.5,17.8,20.7,20.4,23.9,28.3,26.0,31.4,29.5,30.8,30.1,31.3,39.3,39.4,38.5,38.0,36.6

